County,CBSA Code,Type
42007,38300,A
42019,38300,A
42051,38300,A
42125,38300,A
42129,38300,A
25003,38340,A
48189,38380,B
55043,38420,B
36019,38460,B
18099,38500,B
16005,38540,A
39053,38580,B
54053,38580,B
40071,38620,B
72055,38660,A
72059,38660,A
72075,38660,A
72111,38660,A
72113,38660,A
72149,38660,A
72153,38660,A
17105,38700,B
29023,38740,B
35041,38780,B
53009,38820,B
39123,38840,B
23005,38860,A
23023,38860,A
23031,38860,A
41005,38900,A
41009,38900,A
41051,38900,A
41067,38900,A
41071,38900,A
53011,38900,A
53059,38900,A
48057,38920,B
12085,38940,A
12111,38940,A
39145,39020,B
42107,39060,B
04025,39140,A
49007,39220,B
41013,39260,B
25005,39300,A
44001,39300,A
44003,39300,A
44005,39300,A
44007,39300,A
44009,39300,A
49023,39340,A
49049,39340,A
08101,39380,A
53075,39420,B
12015,39460,A
17001,39500,B
29111,39500,B
55101,39540,A
37069,39580,A
37101,39580,A
37183,39580,A
46033,39660,A
46093,39660,A
46103,39660,A
48489,39700,B
42011,39740,A
06103,39780,B
06089,39820,A
27049,39860,B
32029,39900,A
32031,39900,A
16043,39940,B
16065,39940,B
18177,39980,B
51007,40060,A
51033,40060,A
51036,40060,A
51041,40060,A
51053,40060,A
51075,40060,A
51085,40060,A
51087,40060,A
51101,40060,A
51127,40060,A
51145,40060,A
51149,40060,A
51183,40060,A
51570,40060,A
51670,40060,A
51730,40060,A
51760,40060,A
21151,40080,B
21203,40080,B
48427,40100,B
06065,40140,A
06071,40140,A
56013,40180,B
51023,40220,A
51045,40220,A
51067,40220,A
51161,40220,A
51770,40220,A
51775,40220,A
37083,40260,B
37131,40260,B
17141,40300,B
27039,40340,A
27045,40340,A
27109,40340,A
27157,40340,A
36051,40380,A
36055,40380,A
36069,40380,A
36073,40380,A
36117,40380,A
36123,40380,A
17007,40420,A
17201,40420,A
37153,40460,B
56037,40540,B
37065,40580,A
37127,40580,A
29161,40620,B
13115,40660,A
41019,40700,B
35005,40740,B
05115,40780,B
05149,40780,B
22061,40820,B
50021,40860,B
06017,40900,A
06061,40900,A
06067,40900,A
06113,40900,A
04009,40940,B
26145,40980,A
27009,41060,A
27145,41060,A
49053,41100,A
20043,41140,A
29003,41140,A
29021,41140,A
29063,41140,A
17005,41180,A
17013,41180,A
17027,41180,A
17083,41180,A
17117,41180,A
17119,41180,A
17133,41180,A
17163,41180,A
29071,41180,A
29099,41180,A
29113,41180,A
29183,41180,A
29189,41180,A
29219,41180,A
29510,41180,A
13039,41220,B
39029,41400,B
41047,41420,A
41053,41420,A
20143,41460,B
20169,41460,B
06053,41500,A
10005,41540,A
24039,41540,A
24045,41540,A
24047,41540,A
49035,41620,A
49045,41620,A
48235,41660,A
48451,41660,A
48013,41700,A
48019,41700,A
48029,41700,A
48091,41700,A
48187,41700,A
48259,41700,A
48325,41700,A
48493,41700,A
06073,41740,A
16017,41760,B
39043,41780,B
37105,41820,B
06001,41860,A
06013,41860,A
06075,41860,A
06081,41860,A
06041,41860,A
72023,41900,A
72079,41900,A
72121,41900,A
72125,41900,A
06069,41940,A
06085,41940,A
72007,41980,A
72009,41980,A
72017,41980,A
72019,41980,A
72021,41980,A
72025,41980,A
72029,41980,A
72031,41980,A
72033,41980,A
72035,41980,A
72037,41980,A
72039,41980,A
72041,41980,A
72045,41980,A
72047,41980,A
72051,41980,A
72053,41980,A
72054,41980,A
72061,41980,A
72063,41980,A
72069,41980,A
72077,41980,A
72085,41980,A
72087,41980,A
72089,41980,A
72091,41980,A
72095,41980,A
72101,41980,A
72103,41980,A
72105,41980,A
72107,41980,A
72119,41980,A
72127,41980,A
72129,41980,A
72135,41980,A
72137,41980,A
72139,41980,A
72143,41980,A
72145,41980,A
72151,41980,A
06079,42020,A
06087,42100,A
35049,42140,A
72133,42180,B
06083,42200,A
06097,42220,A
26033,42300,B
13029,42340,A
13051,42340,A
13103,42340,A
42015,42380,B
31007,42420,B
31157,42420,B
31165,42420,B
01071,42460,B
42069,42540,A
42079,42540,A
42131,42540,A
05145,42620,B
53033,42660,A
53061,42660,A
53053,42660,A
12061,42680,A
12055,42700,A
29159,42740,B
42109,42780,B
01047,42820,B
45073,42860,B
36099,42900,B
47155,42940,B
18071,42980,B
55078,43020,B
55115,43020,B
40125,43060,B
55117,43100,A
37045,43140,B
47003,43180,B
53045,43220,B
56033,43260,B
48181,43300,A
04017,43320,B
22015,43340,A
22017,43340,A
22031,43340,A
22119,43340,A
39149,43380,B
04003,43420,A
29201,43460,B
35017,43500,B
19149,43580,A
19193,43580,A
31043,43580,A
31051,43580,A
46127,43580,A
46083,43620,A
46087,43620,A
46099,43620,A
46125,43620,A
48415,43660,B
21199,43700,B
42111,43740,B
06109,43760,B
18141,43780,A
26027,43780,A
45083,43900,A
45087,43900,A
46081,43940,B
19041,43980,B
19059,44020,B
53051,44060,A
53063,44060,A
53065,44060,A
